Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-22,17:00:00,0.45,0.46,0.42,0.46,13363,0
2017-08-22,19:00:00,0.45,0.46,0.45,0.46,67500,0
2017-08-22,20:00:00,0.45,0.45,0.45,0.45,215400,0
2017-08-22,21:00:00,0.45,0.45,0.45,0.45,25000,0
2017-08-22,22:00:00,0.44,0.45,0.44,0.45,50200,0
2017-08-23,16:00:00,0.45,0.45,0.45,0.45,80000,0
2017-08-23,17:00:00,0.43,0.43,0.43,0.43,300,0
2017-08-23,19:00:00,0.4301,0.4301,0.4301,0.4301,100,0
2017-08-23,22:00:00,0.45,0.45,0.45,0.45,300,0
2017-08-24,18:00:00,0.44,0.44,0.44,0.44,400,0
2017-08-24,19:00:00,0.37,0.44,0.37,0.44,5100,0
2017-08-24,22:00:00,0.4274,0.4274,0.4274,0.4274,2500,0
2017-08-25,19:00:00,0.44,0.44,0.44,0.44,10000,0
2017-08-25,22:00:00,0.44,0.44,0.44,0.44,15000,0
2017-08-28,18:00:00,0.43,0.43,0.43,0.43,8000,0
2017-08-28,21:00:00,0.43,0.43,0.4,0.4,5750,0
2017-08-28,22:00:00,0.42,0.44,0.42,0.44,6200,0
2017-08-29,16:00:00,0.43,0.44,0.415,0.42,31450,0
2017-08-29,17:00:00,0.42,0.42,0.4,0.4,23700,0
2017-08-29,18:00:00,0.4,0.42,0.4,0.42,51000,0
2017-08-29,19:00:00,0.415,0.415,0.415,0.415,10000,0
2017-08-29,22:00:00,0.415,0.415,0.415,0.415,14700,0
2017-08-30,19:00:00,0.42,0.42,0.42,0.42,44700,0
2017-08-30,20:00:00,0.415,0.415,0.415,0.415,5000,0
2017-08-31,16:00:00,0.421,0.421,0.42,0.42,51800,0
2017-08-31,18:00:00,0.42,0.42,0.42,0.42,28900,0
2017-08-31,19:00:00,0.42,0.42,0.42,0.42,10500,0
2017-09-01,17:00:00,0.42,0.42,0.42,0.42,20100,0
2017-09-01,18:00:00,0.42,0.42,0.42,0.42,100,0
2017-09-01,19:00:00,0.42,0.42,0.42,0.42,100,0
2017-09-01,20:00:00,0.42,0.42,0.42,0.42,100,0
2017-09-01,21:00:00,0.42,0.42,0.42,0.42,205,0
2017-09-01,22:00:00,0.41,0.41,0.41,0.41,100,0
2017-09-05,19:00:00,0.4,0.42,0.4,0.4,15500,0
2017-09-05,22:00:00,0.41,0.42,0.41,0.42,200,0
2017-09-06,22:00:00,0.41,0.41,0.41,0.41,100,0
2017-09-07,18:00:00,0.41,0.41,0.4,0.4,610100,0
2017-09-07,20:00:00,0.4,0.41,0.4,0.41,15600,0
2017-09-08,21:00:00,0.4,0.4,0.4,0.4,100,0
2017-09-08,22:00:00,0.405,0.405,0.405,0.405,100,0
2017-09-11,21:00:00,0.39,0.405,0.39,0.405,245106,0
2017-09-11,22:00:00,0.397,0.4,0.39,0.394,26400,0
2017-09-12,22:00:00,0.41,0.41,0.41,0.41,100,0
2017-09-13,22:00:00,0.39,0.39,0.39,0.39,100,0
2017-09-14,17:00:00,0.4,0.4,0.4,0.4,400,0
2017-09-14,18:00:00,0.4,0.4,0.4,0.4,600,0
2017-09-14,19:00:00,0.4005,0.42,0.4005,0.42,3600,0
2017-09-15,20:00:00,0.4,0.4,0.38,0.39,34800,0
2017-09-15,21:00:00,0.393,0.4,0.393,0.4,10400,0
2017-09-15,22:00:00,0.3901,0.395,0.37,0.37,23000,0
2017-09-18,22:00:00,0.38,0.38,0.38,0.38,100,0
2017-09-19,22:00:00,0.38,0.4,0.38,0.38,134800,0
2017-09-21,18:00:00,0.38,0.4,0.38,0.4,13600,0
2017-09-21,19:00:00,0.38,0.4,0.38,0.38,9700,0
2017-09-21,21:00:00,0.4,0.4,0.3998,0.4,19800,0
2017-09-21,22:00:00,0.4,0.4,0.4,0.4,32200,0
2017-09-22,17:00:00,0.4,0.4,0.4,0.4,5200,0
2017-09-22,18:00:00,0.4,0.41,0.4,0.41,25600,0
2017-09-25,17:00:00,0.39,0.39,0.39,0.39,5000,0
2017-09-25,22:00:00,0.4,0.4,0.4,0.4,1000,0
2017-09-26,18:00:00,0.41,0.41,0.41,0.41,200,0
2017-09-27,16:00:00,0.42,0.42,0.42,0.42,200,0
2017-09-27,17:00:00,0.42,0.42,0.4,0.4,500,0
2017-09-27,18:00:00,0.4,0.4,0.4,0.4,400,0
2017-09-27,19:00:00,0.41,0.42,0.41,0.42,2900,0
2017-09-27,20:00:00,0.42,0.42,0.42,0.42,400,0
2017-09-27,21:00:00,0.42,0.42,0.42,0.42,600,0
2017-09-28,16:00:00,0.415,0.415,0.415,0.415,800,0
2017-09-28,17:00:00,0.415,0.415,0.41,0.41,1500,0
2017-09-28,18:00:00,0.41,0.415,0.41,0.415,1200,0
2017-09-28,19:00:00,0.415,0.415,0.415,0.415,1100,0
2017-09-28,20:00:00,0.415,0.415,0.415,0.415,1200,0
2017-09-28,21:00:00,0.415,0.415,0.415,0.415,1900,0
2017-09-29,16:00:00,0.415,0.42,0.41,0.42,54900,0
2017-09-29,17:00:00,0.41,0.41,0.41,0.41,145818,0
2017-09-29,18:00:00,0.4072,0.4072,0.4072,0.4072,5000,0
2017-09-29,22:00:00,0.4,0.4,0.4,0.4,2100,0
2017-10-03,17:00:00,0.39,0.39,0.39,0.39,1000,0
2017-10-04,19:00:00,0.4,0.4,0.4,0.4,16000,0
2017-10-04,20:00:00,0.4125,0.4125,0.4125,0.4125,500,0
2017-10-04,22:00:00,0.4125,0.42,0.41,0.415,12000,0
2017-10-05,16:00:00,0.415,0.415,0.415,0.415,200,0
2017-10-05,17:00:00,0.415,0.415,0.415,0.415,400,0
2017-10-05,18:00:00,0.415,0.415,0.415,0.415,300,0
2017-10-05,19:00:00,0.415,0.415,0.415,0.415,300,0
2017-10-05,20:00:00,0.415,0.415,0.415,0.415,300,0
2017-10-05,21:00:00,0.415,0.415,0.415,0.415,500,0
2017-10-05,22:00:00,0.415,0.42,0.415,0.42,17500,0
2017-10-06,16:00:00,0.4,0.4,0.4,0.4,1000,0
2017-10-06,21:00:00,0.4,0.4,0.4,0.4,10100,0
2017-10-09,22:00:00,0.4,0.4,0.4,0.4,100,0
2017-10-10,16:00:00,0.4,0.4,0.4,0.4,4800,0
2017-10-10,19:00:00,0.415,0.415,0.4134,0.4149,12000,0
2017-10-10,21:00:00,0.415,0.44,0.415,0.42,43800,0
2017-10-10,22:00:00,0.42,0.43,0.42,0.43,203850,0
2017-10-11,17:00:00,0.4,0.4,0.4,0.4,107800,0
2017-10-11,21:00:00,0.42,0.43,0.42,0.43,1800,0
2017-10-13,16:00:00,0.43,0.43,0.43,0.43,100,0
2017-10-13,17:00:00,0.43,0.43,0.43,0.43,200,0
2017-10-13,18:00:00,0.43,0.43,0.43,0.43,100,0
2017-10-13,19:00:00,0.43,0.43,0.43,0.43,200,0
2017-10-13,20:00:00,0.43,0.43,0.43,0.43,100,0
2017-10-13,21:00:00,0.43,0.43,0.43,0.43,300,0
2017-10-17,18:00:00,0.4,0.4,0.4,0.4,50000,0
2017-10-19,17:00:00,0.42,0.42,0.41,0.41,101050,0
2017-10-19,18:00:00,0.401,0.401,0.401,0.401,10200,0
2017-10-20,16:00:00,0.4,0.4,0.4,0.4,3000,0
2017-10-20,19:00:00,0.39,0.4,0.39,0.4,19900,0
2017-10-20,21:00:00,0.3966,0.4,0.3966,0.3999,6100,0
2017-10-24,16:00:00,0.4,0.4,0.4,0.4,8600,0
2017-10-24,18:00:00,0.4,0.4,0.4,0.4,4200,0
2017-10-27,17:00:00,0.4,0.4,0.4,0.4,100,0
2017-10-27,19:00:00,0.4,0.4,0.4,0.4,27200,0
2017-10-27,20:00:00,0.4,0.4309,0.4,0.4,16700,0
2017-10-27,21:00:00,0.4,0.4001,0.4,0.4,2600,0
2017-10-31,16:00:00,0.4,0.4,0.4,0.4,100,0
2017-11-01,18:00:00,0.4,0.4,0.4,0.4,3100,0
2017-11-01,21:00:00,0.4,0.4,0.4,0.4,10000,0
2017-11-02,17:00:00,0.4,0.41,0.4,0.41,46400,0
2017-11-02,20:00:00,0.4,0.4,0.4,0.4,16500,0
2017-11-03,15:00:00,0.4,0.4,0.4,0.4,1500,0
2017-11-03,17:00:00,0.4,0.4,0.4,0.4,10000,0
2017-11-06,21:00:00,0.4,0.4,0.4,0.4,900,0
2017-11-07,22:00:00,0.4005,0.4005,0.4,0.4,4600,0
2017-11-08,16:00:00,0.4,0.4,0.4,0.4,900,0
2017-11-08,18:00:00,0.4,0.4,0.4,0.4,5000,0
2017-11-08,20:00:00,0.4,0.4,0.395,0.4,19344,0
2017-11-08,21:00:00,0.395,0.395,0.395,0.395,1100,0
2017-11-08,22:00:00,0.395,0.395,0.395,0.395,10300,0
2017-11-09,16:00:00,0.4,0.4,0.4,0.4,5000,0
2017-11-09,20:00:00,0.395,0.395,0.395,0.395,5000,0
2017-11-10,19:00:00,0.4,0.4,0.4,0.4,27500,0
2017-11-10,22:00:00,0.381,0.4,0.36,0.4,82500,0
2017-11-13,19:00:00,0.3801,0.3801,0.38,0.38,14000,0
2017-11-13,20:00:00,0.3892,0.3892,0.381,0.385,32200,0
2017-11-13,21:00:00,0.39,0.39,0.385,0.385,24942,0
2017-11-13,22:00:00,0.385,0.385,0.38,0.38,1066,0
2017-11-14,16:00:00,0.4,0.4,0.4,0.4,900,0
2017-11-14,17:00:00,0.4,0.4,0.3931,0.3945,11700,0
2017-11-14,18:00:00,0.3945,0.3945,0.3945,0.3945,11300,0
2017-11-14,19:00:00,0.3945,0.395,0.392,0.395,30900,0
2017-11-14,20:00:00,0.395,0.395,0.3935,0.394,11300,0
2017-11-14,21:00:00,0.394,0.395,0.3935,0.395,12221,0
2017-11-17,18:00:00,0.38,0.38,0.38,0.38,31191,0
2017-11-17,22:00:00,0.38,0.38,0.38,0.38,15100,0
2017-11-20,19:00:00,0.39,0.39,0.39,0.39,100,0
2017-11-20,22:00:00,0.375,0.375,0.375,0.375,5300,0
2017-11-21,19:00:00,0.3775,0.38,0.3729,0.38,9800,0
2017-11-21,22:00:00,0.38,0.38,0.3701,0.3701,22700,0
2017-11-27,17:00:00,0.366,0.385,0.36,0.385,50179,0
2017-11-27,18:00:00,0.385,0.385,0.385,0.385,4500,0
2017-11-27,19:00:00,0.385,0.39,0.385,0.385,3800,0
2017-11-28,21:00:00,0.37,0.37,0.37,0.37,6700,0
2017-11-28,22:00:00,0.39,0.39,0.37,0.37,90600,0
2017-11-29,20:00:00,0.3611,0.3611,0.3611,0.3611,1150,0
2017-11-29,22:00:00,0.375,0.375,0.37,0.37,5500,0
2017-11-30,20:00:00,0.361,0.4,0.361,0.4,25100,0
2017-12-04,21:00:00,0.4,0.4,0.4,0.4,200,0
2017-12-05,21:00:00,0.4,0.41,0.4,0.405,5600,0
2017-12-05,22:00:00,0.4,0.4,0.4,0.4,4400,0
2017-12-06,20:00:00,0.41,0.455,0.41,0.45,700,0
2017-12-06,21:00:00,0.45,0.45,0.44,0.44,700,0
2017-12-06,22:00:00,0.44,0.45,0.44,0.45,3500,0
2017-12-13,20:00:00,0.43,0.43,0.43,0.43,3441,0
2017-12-21,16:00:00,0.4,0.4,0.4,0.4,3500,0
2017-12-21,22:00:00,0.415,0.43,0.4,0.43,22700,0
2017-12-27,22:00:00,0.4175,0.4175,0.405,0.405,600,0
2017-12-29,16:00:00,0.4209,0.4209,0.4209,0.4209,1000,0
2018-01-02,16:00:00,0.43,0.43,0.43,0.43,300,0
2018-01-02,17:00:00,0.42,0.42,0.42,0.42,10000,0
2018-01-03,17:00:00,0.4,0.4,0.4,0.4,50000,0
2018-01-03,19:00:00,0.4,0.4,0.4,0.4,100000,0
2018-01-03,22:00:00,0.4,0.4,0.4,0.4,2200,0
2018-01-04,18:00:00,0.4,0.4,0.4,0.4,10000,0
2018-01-04,19:00:00,0.4,0.4,0.4,0.4,300,0
2018-01-04,22:00:00,0.4,0.4,0.4,0.4,37500,0
2018-01-05,18:00:00,0.44,0.44,0.44,0.44,200,0
2018-01-05,19:00:00,0.44,0.44,0.44,0.44,300,0
2018-01-05,20:00:00,0.44,0.44,0.44,0.44,200,0
2018-01-05,21:00:00,0.44,0.44,0.44,0.44,300,0
2018-01-08,16:00:00,0.43,0.43,0.43,0.43,10000,0
2018-01-11,22:00:00,0.45,0.45,0.45,0.45,82500,0
2018-01-12,17:00:00,0.42,0.42,0.42,0.42,10000,0
2018-01-12,21:00:00,0.42,0.42,0.42,0.42,37000,0
2018-01-16,16:00:00,0.435,0.435,0.435,0.435,1250,0
2018-01-16,19:00:00,0.425,0.425,0.42,0.42,33500,0
2018-01-17,21:00:00,0.4,0.4,0.4,0.4,30000,0
2018-01-17,22:00:00,0.42,0.42,0.42,0.42,29878,0
2018-01-19,18:00:00,0.45,0.55,0.45,0.55,35790,0
2018-01-19,22:00:00,0.4999,0.54,0.49,0.54,60600,0
2018-01-22,17:00:00,0.692,0.9399,0.5499,0.5499,4600,0
2018-01-22,18:00:00,0.4999,0.53,0.4999,0.53,400,0
2018-01-22,19:00:00,0.53,0.53,0.53,0.53,100,0
2018-01-22,21:00:00,0.5499,0.5499,0.5499,0.5499,500,0
2018-01-22,22:00:00,0.5799,0.5799,0.5683,0.5683,700,0
2018-01-23,17:00:00,0.6699,0.6699,0.5498,0.5498,2600,0
2018-01-23,18:00:00,0.5498,0.5498,0.51,0.5498,6700,0
2018-01-23,19:00:00,0.4999,0.4999,0.4999,0.4999,200,0
2018-01-23,21:00:00,0.4999,0.4999,0.4999,0.4999,3800,0
2018-01-24,18:00:00,0.5999,0.5999,0.5999,0.5999,200,0
2018-01-24,19:00:00,0.5999,0.5999,0.5499,0.5799,600,0
2018-01-24,20:00:00,0.5499,0.5499,0.5499,0.5499,100,0
2018-01-24,21:00:00,0.5498,0.5498,0.5498,0.5498,100,0
2018-01-24,22:00:00,0.5498,0.5498,0.5498,0.5498,100,0
2018-01-25,22:00:00,0.5,0.5498,0.46,0.48,300500,0
2018-01-26,17:00:00,0.5498,0.5498,0.48,0.48,3800,0
2018-01-26,18:00:00,0.55,0.55,0.55,0.55,200,0
2018-01-26,20:00:00,0.55,0.55,0.55,0.55,100,0
2018-01-26,22:00:00,0.55,0.55,0.4999,0.4999,300,0
2018-01-29,22:00:00,0.46,0.49,0.44,0.44,300,0
2018-01-30,22:00:00,0.49,0.49,0.48,0.48,400,0
2018-01-31,22:00:00,0.5334,0.55,0.5334,0.54,1200,0
2018-02-01,21:00:00,0.4999,0.4999,0.4999,0.4999,300,0
2018-02-01,22:00:00,0.5,0.5,0.4999,0.4999,1580,0
2018-02-02,20:00:00,0.48,0.48,0.48,0.48,1900,0
2018-02-05,20:00:00,0.505,0.505,0.505,0.505,100,0
2018-02-05,21:00:00,0.4999,0.4999,0.4999,0.4999,200,0
2018-02-05,22:00:00,0.47,0.47,0.47,0.47,1000,0
2018-02-06,17:00:00,0.55,0.55,0.55,0.55,10000,0
2018-02-06,18:00:00,0.5499,0.55,0.5499,0.55,25640,0
2018-02-06,21:00:00,0.5699,0.6,0.5699,0.6,14300,0
2018-02-08,19:00:00,0.48,0.59,0.47,0.5899,1900,0
2018-02-08,22:00:00,0.5499,0.5799,0.47,0.5799,1600,0
2018-02-09,18:00:00,0.57,0.5799,0.57,0.5799,600,0
2018-02-09,20:00:00,0.5998,0.5998,0.57,0.57,3300,0
2018-02-13,17:00:00,0.5998,0.5998,0.5998,0.5998,200,0
2018-02-13,18:00:00,0.58,0.58,0.58,0.58,2000,0
2018-02-13,19:00:00,0.5799,0.5816,0.5698,0.5698,500,0
2018-02-14,18:00:00,0.5799,0.5799,0.52,0.5699,72757,0
2018-02-14,19:00:00,0.5699,0.5699,0.5699,0.5699,100,0
2018-02-14,22:00:00,0.5799,0.5998,0.54,0.55,1600,0
2018-02-15,17:00:00,0.5799,0.5799,0.5599,0.5599,600,0
2018-02-15,21:00:00,0.5499,0.5499,0.53,0.5399,3300,0
2018-02-15,22:00:00,0.5299,0.5899,0.5,0.5899,3582,0
2018-02-20,20:00:00,0.4308,0.5599,0.421,0.5599,2700,0
2018-02-20,21:00:00,0.5599,0.5599,0.5597,0.5599,400,0
2018-02-20,22:00:00,0.5599,0.5599,0.5598,0.5598,500,0
2018-02-21,17:00:00,0.5599,0.5599,0.5599,0.5599,100,0
2018-02-21,21:00:00,0.5599,0.5599,0.5598,0.5598,300,0
2018-02-23,20:00:00,0.54,0.54,0.54,0.54,100,0
2018-02-23,21:00:00,0.53,0.55,0.53,0.55,200,0
2018-02-26,16:00:00,0.55,0.55,0.55,0.55,5000,0
2018-02-26,19:00:00,0.55,0.55,0.55,0.55,100,0
2018-02-27,17:00:00,0.5,0.5599,0.5,0.5599,100100,0
2018-02-27,22:00:00,0.53,0.6,0.53,0.6,45800,0
