Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,9.16,9.44,8.8,9.3076,58601,0
2017-09-05,17:00:00,9.3185,9.3185,8.97,8.9712,18801,0
2017-09-05,18:00:00,8.9549,9.16,8.8,8.974,5851,0
2017-09-05,19:00:00,8.97,9.14,8.9601,9.14,1800,0
2017-09-05,20:00:00,9.13,9.145,9.0201,9.1,3602,0
2017-09-05,21:00:00,9.15,9.65,8.9989,9.575,31471,0
2017-09-05,22:00:00,9.58,9.59,9.35,9.485,11659,0
2017-09-06,16:00:00,9.94,9.94,9.5,9.88,15368,0
2017-09-06,17:00:00,9.8426,10.4533,9.8299,10.295,58545,0
2017-09-06,18:00:00,10.21,10.33,10.0601,10.26,12296,0
2017-09-06,19:00:00,10.26,10.5,10.26,10.5,25211,0
2017-09-06,20:00:00,10.48,10.5,10.27,10.3991,6950,0
2017-09-06,21:00:00,10.4751,10.4751,9.75,10.28,18821,0
2017-09-06,22:00:00,10.25,10.3479,9.9,10.27,19185,0
2017-09-07,16:00:00,10.45,10.5,9.06,9.44,64437,0
2017-09-07,17:00:00,9.25,9.75,9.231,9.55,41086,0
2017-09-07,18:00:00,9.5,9.514,9.36,9.44,8939,0
2017-09-07,19:00:00,9.4218,9.4218,9.2,9.2433,16714,0
2017-09-07,20:00:00,9.2001,9.2783,9.11,9.12,2775,0
2017-09-07,21:00:00,9.1189,9.1189,8.5,8.8625,26148,0
2017-09-07,22:00:00,8.8643,9.2,8.86,8.86,9454,0
2017-09-08,16:00:00,8.88,8.88,8.1701,8.215,19594,0
2017-09-08,17:00:00,8.2125,8.7423,8.21,8.55,23095,0
2017-09-08,18:00:00,8.5298,8.643,8.478,8.494,5374,0
2017-09-08,19:00:00,8.5,8.5,8.2501,8.4,4686,0
2017-09-08,20:00:00,8.4,8.5,8.26,8.5,6303,0
2017-09-08,22:00:00,8.36,8.449,8.32,8.32,2110,0
2017-09-11,16:00:00,8.4,8.94,8.4,8.718,2082,0
2017-09-11,17:00:00,8.6703,8.7645,8.021,8.25,10761,0
2017-09-11,18:00:00,8.14,8.2501,8.05,8.05,3883,0
2017-09-11,19:00:00,8.07,8.2004,8.07,8.12,1350,0
2017-09-11,20:00:00,8.12,8.12,7.78,7.912,15731,0
2017-09-11,21:00:00,7.85,7.8893,7.85,7.8893,839,0
2017-09-11,22:00:00,7.9999,7.9999,7.86,7.92,9865,0
2017-09-12,16:00:00,7.85,7.8861,7.85,7.8861,1484,0
2017-09-12,17:00:00,7.8732,8.11,7.8732,8.1099,7750,0
2017-09-12,18:00:00,8.04,8.11,8.04,8.11,9597,0
2017-09-12,19:00:00,8.08,8.08,8.01,8.01,800,0
2017-09-12,20:00:00,8.1,8.1,7.95,7.95,1724,0
2017-09-12,21:00:00,7.9461,7.948,7.92,7.948,1300,0
2017-09-12,22:00:00,8,8.015,7.91,7.91,4840,0
2017-09-13,16:00:00,8,8.1,8,8,7178,0
2017-09-13,17:00:00,8.199,8.24,8.0384,8.15,12218,0
2017-09-13,18:00:00,8.15,8.19,8.02,8.0376,1296,0
2017-09-13,19:00:00,8.0742,8.1799,8,8.08,6699,0
2017-09-13,20:00:00,8.03,8.047,8.01,8.01,1900,0
2017-09-13,21:00:00,8,8.1629,8,8.12,1239,0
2017-09-13,22:00:00,8.07,8.149,8,8,4775,0
2017-09-14,16:00:00,8.0101,8.12,7.98,8.12,10049,0
2017-09-14,17:00:00,8.19,8.2,8.12,8.12,2900,0
2017-09-14,18:00:00,8.12,8.12,7.98,8.0346,2100,0
2017-09-14,19:00:00,8.0001,8.02,8,8,2200,0
2017-09-14,20:00:00,8,8.02,7.96,7.96,3110,0
2017-09-14,21:00:00,8.1,8.1007,8.1,8.1,5900,0
2017-09-14,22:00:00,8.12,8.12,7.92,7.92,5785,0
2017-09-15,16:00:00,8.17,8.17,7.95,7.95,3772,0
2017-09-15,17:00:00,7.9474,7.95,7.92,7.92,3354,0
2017-09-15,18:00:00,7.96,8.0099,7.9,7.95,9473,0
2017-09-15,19:00:00,7.9628,7.9628,7.91,7.9193,6851,0
2017-09-15,20:00:00,7.92,7.92,7.9,7.9,3069,0
2017-09-15,21:00:00,7.9,7.9101,7.9,7.91,1050,0
2017-09-15,22:00:00,7.9,8.15,7.9,8.15,17964,0
2017-09-18,16:00:00,8.16,8.16,8.0001,8.0008,2868,0
2017-09-18,17:00:00,8,8.1192,8,8.1192,7223,0
2017-09-18,18:00:00,8.12,8.16,8.12,8.13,2580,0
2017-09-18,19:00:00,8.15,8.15,8.1357,8.14,1340,0
2017-09-18,20:00:00,8.16,8.16,8.16,8.16,300,0
2017-09-18,21:00:00,8.16,8.17,8.11,8.11,1400,0
2017-09-18,22:00:00,8.11,8.11,7.95,8.1,7100,0
2017-09-19,16:00:00,8.07,8.07,8.07,8.07,457,0
2017-09-19,17:00:00,8.0706,8.1,7.95,8.1,5327,0
2017-09-19,19:00:00,8.0999,8.0999,8.0999,8.0999,1000,0
2017-09-19,20:00:00,8.0829,8.0829,8.0829,8.0829,120,0
2017-09-19,21:00:00,8.0471,8.1,8.0471,8.1,2300,0
2017-09-19,22:00:00,8.09,8.26,8.09,8.26,14059,0
2017-09-20,16:00:00,8.37,8.97,8.34,8.42,22156,0
2017-09-20,17:00:00,8.46,8.4799,8.42,8.4799,8462,0
2017-09-20,18:00:00,8.45,8.4799,8.39,8.4399,2936,0
2017-09-20,19:00:00,8.38,8.4,8.36,8.4,2223,0
2017-09-20,20:00:00,8.4,8.4,8.3999,8.3999,347,0
2017-09-20,21:00:00,8.38,8.3999,8.3799,8.3799,650,0
2017-09-20,22:00:00,8.37,8.49,8.34,8.49,12056,0
2017-09-21,16:00:00,8.54,8.54,8.4999,8.4999,752,0
2017-09-21,17:00:00,8.4575,8.5,8.4052,8.5,4130,0
2017-09-21,18:00:00,8.4433,8.5,8.43,8.495,900,0
2017-09-21,19:00:00,8.4772,8.48,8.46,8.48,500,0
2017-09-21,20:00:00,8.4,8.47,8.4,8.47,200,0
2017-09-21,22:00:00,8.4101,8.48,8.4101,8.48,1850,0
2017-09-22,16:00:00,8.54,8.54,8.38,8.4122,2758,0
2017-09-22,17:00:00,8.45,8.6,8.3801,8.4699,12718,0
2017-09-22,18:00:00,8.47,8.47,8.35,8.35,3959,0
2017-09-22,19:00:00,8.39,8.39,8.318,8.39,1500,0
2017-09-22,20:00:00,8.39,8.39,8.385,8.385,400,0
2017-09-22,21:00:00,8.39,8.39,8.39,8.39,500,0
2017-09-22,22:00:00,8.35,8.39,8.35,8.35,2490,0
2017-09-25,16:00:00,8.49,8.49,8.38,8.38,1642,0
2017-09-25,17:00:00,8.38,8.38,8.26,8.35,4764,0
2017-09-25,18:00:00,8.27,8.35,8.27,8.31,2900,0
2017-09-25,19:00:00,8.2799,8.31,8.2706,8.31,1200,0
2017-09-25,20:00:00,8.3999,8.62,8.3334,8.4901,14873,0
2017-09-25,21:00:00,8.49,8.585,8.35,8.42,4998,0
2017-09-25,22:00:00,8.36,8.42,8.36,8.42,1000,0
2017-09-26,17:00:00,8.46,8.46,8.26,8.385,2400,0
2017-09-26,21:00:00,8.27,8.4,8.27,8.395,2200,0
2017-09-26,22:00:00,8.3,8.37,8.27,8.37,1553,0
2017-09-27,16:00:00,8.29,8.754,8.27,8.4721,31171,0
2017-09-27,17:00:00,8.52,8.65,8.51,8.63,2600,0
2017-09-27,18:00:00,8.625,8.625,8.5364,8.5364,930,0
2017-09-27,19:00:00,8.57,8.58,8.5567,8.57,800,0
2017-09-27,20:00:00,8.57,8.6,8.5,8.5,3689,0
2017-09-27,21:00:00,8.545,8.59,8.545,8.59,400,0
